name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season
Air,101,12,Finished Airing,"Jan 7, 2005",Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,7.32,"Mar 25, 2005",2005,Winter
Aishiteruze Baby★★,102,26,Finished Airing,"Apr 3, 2004",TMS Entertainment,Manga,PG-13 - Teens 13 or older,7.49,"Oct 9, 2004",2004,Spring
Akazukin Chacha (Red Riding Hood Chacha),103,74,Finished Airing,"Jan 7, 1994",Gallop,Manga,G - All Ages,7.4,"Jun 30, 1995",1994,Winter
"Ayashi no Ceres (Ceres, Celestial Legend)",104,24,Finished Airing,"Apr 20, 2000",Studio Pierrot,Manga,R - 17+ (violence & profanity),7.24,"Sep 28, 2000",2000,Spring
Boys Be...,105,13,Finished Airing,"Apr 11, 2000",Hal Film Maker,Manga,PG-13 - Teens 13 or older,6.46,"Jul 4, 2000",2000,Spring
Hana yori Dango,106,51,Finished Airing,"Sep 8, 1996",Toei Animation,Manga,PG-13 - Teens 13 or older,7.72,"Aug 31, 1997",1996,Summer
Ou Dorobou Jing (Jing: King of Bandits),107,13,Finished Airing,"May 15, 2002",Studio Deen,Manga,PG-13 - Teens 13 or older,7.24,"Aug 14, 2002",2002,Spring
Ou Dorobou Jing in Seventh Heaven,108,3,Finished Airing,"Jan 21, 2004",Studio Deen,Manga,PG-13 - Teens 13 or older,7.3,"Apr 28, 2004",2004,Winter
Bakuretsu Tenshi (Burst Angel),109,24,Finished Airing,"Apr 7, 2004",Gonzo,Original,PG-13 - Teens 13 or older,6.82,"Sep 15, 2004",2004,Spring
Chuuka Ichiban!,110,52,Finished Airing,"Apr 27, 1997",Nippon Animation,Manga,PG-13 - Teens 13 or older,7.64,"Sep 13, 1998",1997,Spring
Corrector Yui,111,52,Finished Airing,"Apr 9, 1999",Nippon Animation,Original,PG - Children,6.83,"Oct 20, 2000",1999,Spring
Chou Henshin Cosprayers (The Cosmopolitan Prayers),112,8,Finished Airing,"Jan 12, 2004",Studio Live,Original,PG-13 - Teens 13 or older,4.97,"Mar 1, 2004",2004,Winter
Uchuu no Stellvia (Stellvia),113,26,Finished Airing,"Apr 3, 2003",Xebec,Original,PG-13 - Teens 13 or older,7.39,"Sep 25, 2003",2003,Spring
Sakigake!! Cromartie Koukou (Cromartie High School),114,26,Finished Airing,"Oct 3, 2003",Production I.G,Manga,PG-13 - Teens 13 or older,7.94,"Mar 26, 2004",2003,Fall
El Hazard: The Alternative World,115,13,Finished Airing,"Jan 8, 1998",AIC,Original,PG-13 - Teens 13 or older,6.84,"Mar 26, 1998",1998,Winter
El Hazard: The Wanderers (El-Hazard: The Wanderers),116,26,Finished Airing,"Oct 6, 1995",AIC,Original,PG-13 - Teens 13 or older,6.98,"Mar 29, 1996",1995,Fall
El Hazard: The Magnificent World,117,7,Finished Airing,"May 26, 1995",AIC,Original,PG-13 - Teens 13 or older,7.33,"Jan 25, 1996",1995,Spring
El Hazard 2: The Magnificent World,118,4,Finished Airing,"Mar 21, 1997",AIC,Original,PG-13 - Teens 13 or older,6.86,"Oct 25, 1997",1997,Winter
Final Approach,119,13,Finished Airing,"Oct 3, 2004",Zexcs,Visual novel,PG-13 - Teens 13 or older,6.57,"Dec 26, 2004",2004,Fall
Fruits Basket,120,26,Finished Airing,"Jul 5, 2001",Studio Deen,Manga,PG-13 - Teens 13 or older,7.7,"Dec 27, 2001",2001,Summer
Fullmetal Alchemist,121,51,Finished Airing,"Oct 4, 2003",Bones,Manga,PG-13 - Teens 13 or older,8.19,"Oct 2, 2004",2003,Fall
Full Moon wo Sagashite (Searching for the Full Moon),122,52,Finished Airing,"Apr 6, 2002",Studio Deen,Manga,PG-13 - Teens 13 or older,7.97,"Mar 29, 2003",2002,Spring
Fushigi Yuugi (Mysterious Play),123,52,Finished Airing,"Apr 6, 1995",Studio Pierrot,Manga,PG-13 - Teens 13 or older,7.65,"Mar 28, 1996",1995,Spring
Fushigi Yuugi: Eikouden (Mysterious Play: Eikoden),124,4,Finished Airing,"Dec 21, 2001",Studio Pierrot,Manga,PG-13 - Teens 13 or older,6.86,"Jun 25, 2002",2001,Fall
Futakoi (Twin Love),125,13,Finished Airing,"Oct 6, 2004",Telecom Animation Film,Original,PG-13 - Teens 13 or older,6.5,"Dec 29, 2004",2004,Fall
