name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season 
Inamura no Hi,39378,1,Finished Airing,,,Original,G - All Ages,,,,
"Wei, Kanjian Erduo La! 2",39380,12,Finished Airing,"Feb 2, 2019",monofilmo,Web manga,PG-13 - Teens 13 or older,7.41,"Apr 13, 2019",2019,Winter
AEIOUdan: Douro no Tadashii Watari Kata,39381,1,Finished Airing,1991,,Original,G - All Ages,,,1991,
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,39382,1,Finished Airing,"Nov 22, 2019",,Manga,PG-13 - Teens 13 or older,6.78,,2019,Fall
Kogitsune no Koutsuu Anzen,39384,1,Finished Airing,Sep,,Picture book,G - All Ages,,,1997,Summer
Replicant,39385,1,Finished Airing,"Dec 4, 2013",,Music,PG-13 - Teens 13 or older,,,2013,Fall
Koisuru Asteroid (Asteroid in Love),39388,12,Finished Airing,"Jan 3, 2020",Doga Kobo,4-koma manga,PG-13 - Teens 13 or older,6.89,"Mar 27, 2020",2020,Winter
Master Piece The Animation,39392,2,Finished Airing,"May 31, 2019",,Manga,Rx - Hentai,7.79,"Aug 30, 2019",2019,Spring
Marine Mirage,39393,1,Finished Airing,"Sep 27, 2018",,Game,G - All Ages,,,2018,Summer
Sunny Days!,39394,1,Finished Airing,"Aug 31, 2018",,Game,G - All Ages,,,2018,Summer
Sea Breeze,39395,1,Finished Airing,"Jul 30, 2018",,Game,G - All Ages,,,2018,Summer
Deep Blue Song (September 2017),39396,1,Finished Airing,"Sep 13, 2017",,Game,G - All Ages,,,2017,Summer
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials,39397,2,Finished Airing,"Feb 27, 2019",,Light novel,R+ - Mild Nudity,5.58,"Mar 27, 2019",2019,Winter
BanG Dream! 2nd Season Jikai Yokoku,39398,,Currently Airing,"Jan 7, 2019",,Unknown,None,,"2019 to, ?",2019,Winter
Overlord III Yokoku,39399,13,Finished Airing,"Jul 6, 2018",,Unknown,None,,"Sep 30, 2018",2018,Summer
Super Mario no Koutsuu Anzen (Super Mario Traffic Safety),39401,1,Finished Airing,,Toei Animation,Original,PG - Children,,,,
Nakayoshi Jitensha,39403,1,Finished Airing,,,Original,G - All Ages,,,,
Doubutsu Mura no Jishin Youjin: Hi no Youjin,39404,1,Finished Airing,,,Original,G - All Ages,,,,
Kaitei-koku no Koutsu Anzen,39405,1,Finished Airing,1990,,Other,G - All Ages,,,1990,
Kaji no Akuruhi,39406,1,Finished Airing,1985,,Original,G - All Ages,,,1985,
Kuma-chan no Koutsuu Anzen,39407,1,Finished Airing,,,Original,G - All Ages,,,,
Doubutsu Mura no Shouboutai,39408,1,Finished Airing,1972,,Original,G - All Ages,,,1972,
Chiro no Ki Ookiku Naare,39409,1,Finished Airing,1982,,Original,G - All Ages,,,1982,
AOTU Shijie 3,39410,,Currently Airing,"Jan 25, 2019",,Web manga,PG-13 - Teens 13 or older,,"2019 to, ?",2019,Winter
Bakutsuri Bar Hunter Movie: Nazo no Barcode Trial! Bakutsure! Shinkaigyo Poseidon,39412,1,Finished Airing,"Apr 26, 2019",Toei Animation,Manga,PG - Children,,,2019,Spring
Kaishain! Nourin Suisan-shou e Iku,39413,1,Finished Airing,"Mar 1, 2019",,Original,G - All Ages,,,2019,Winter
Gegege no Kitarou: Tamashii to Art,39414,2,Finished Airing,"Sep 28, 2018",,Manga,G - All Ages,,,2018,Summer
Donbei x Kemurikusa,39415,1,Finished Airing,"Feb 27, 2019",,Original,G - All Ages,5.55,,2019,Winter
Kemurikusa (2018),39416,7,Finished Airing,"Aug 31, 2018",,Original,G - All Ages,6.24,"Apr 6, 2019",2018,Summer
Granbelm,39417,13,Finished Airing,"Jul 6, 2019",Nexus,Original,PG-13 - Teens 13 or older,6.79,"Sep 27, 2019",2019,Summer
Xia Gan Yi Dan Shen Jianxin,39419,12,Finished Airing,"Sep 21, 2018",,Game,PG-13 - Teens 13 or older,7.22,"Nov 30, 2018",2018,Summer
Yichang Shengwu Jianwenlu (Journal of the Mysterious Creatures),39421,13,Finished Airing,"Jun 28, 2019",,Novel,PG-13 - Teens 13 or older,6.43,"Sep 20, 2019",2019,Spring
Ganbare! Ko Zou no Koutsuu Anzen Patrol-tai,39426,1,Finished Airing,1984,,Original,G - All Ages,,,1984,
Higuma no Ongaeshi,39427,1,Finished Airing,1984,,Original,G - All Ages,,,1984,
UFO-koku no Koutsuu Anzen,39428,1,Finished Airing,1979,,Original,G - All Ages,,,1979,
Girls & Panzer: Saishuushou Part 1 - Fushou Akiyama Yukari no Sensha Kouza,39429,1,Finished Airing,"Mar 23, 2018",,Original,G - All Ages,6.74,,2018,Winter
Zannen na Ikimono Jiten (Special),39430,2,Finished Airing,"Mar 28, 2019",,Picture book,G - All Ages,,"Mar 29, 2019",2019,Winter
Larva Island Season 2,39431,13,Finished Airing,"Mar 1, 2019",,Original,G - All Ages,,,2019,Winter
Oshiri Tantei Movie 1: Curry Naru Jiken,39435,1,Finished Airing,"Apr 26, 2019",,Picture book,PG - Children,,,2019,Spring
Uchi no 3 Shimai Movie,39436,1,Finished Airing,"Apr 26, 2019",,Unknown,G - All Ages,,,2019,Spring
Hisone to Maso-tan Digest Douga,39448,4,Finished Airing,"May 22, 2018",Bones,Original,PG-13 - Teens 13 or older,,"Jul 9, 2018",2018,Spring
Tamayura no Yume,39449,1,Finished Airing,2011,,Original,G - All Ages,,,2011,
Zen-chan Two-chan,39450,78,Finished Airing,"Oct 20, 1969",,Original,G - All Ages,,"Jan 17, 1970",1969,Fall
Two-chan to Issho ni Miyou,39451,1,Finished Airing,1973,,Original,G - All Ages,,,1973,
Itte. (Say It.),39452,1,Finished Airing,"Jun 28, 2017",,Original,G - All Ages,7.24,,2017,Spring
Tonbo ni Natta Yat-chan,39453,1,Finished Airing,1973,,Original,G - All Ages,,,1973,
Yat-chan to Kasei no Ko,39454,1,Finished Airing,1974,,Original,G - All Ages,,,1974,
Yat-chan to Shinnyuusei,39455,1,Finished Airing,1975,,Original,G - All Ages,,,1975,
Sounan Desu ka? (Are You Lost?),39456,12,Finished Airing,"Jul 2, 2019",Ezόla,Manga,PG-13 - Teens 13 or older,6.64,"Sep 17, 2019",2019,Summer
Shounen Ashibe: Go! Go! Goma-chan 4,39457,24,Finished Airing,"Apr 2, 2019",,4-koma manga,G - All Ages,6.01,"Dec 17, 2019",2019,Spring
Tate no Yuusha no Nariagari Yokoku WEB Gentei,39460,,Finished Airing,"Jan 11, 2019",,Unknown,None,,"Jun 21, 2019",2019,Winter
Watashi ni Tenshi ga Maiorita! Yokoku,39461,,Currently Airing,"Jan 11, 2019",,Unknown,None,,"2019 to, ?",2019,Winter
Uchi no Maid ga Uzasugiru! Web Yokoku,39462,11,Finished Airing,"Oct 10, 2018",,Unknown,None,,"Dec 20, 2018",2018,Fall
Gleipnir,39463,13,Finished Airing,"Apr 5, 2020",Pine Jam,Manga,R - 17+ (violence & profanity),7.05,"Jun 28, 2020",2020,Spring
Haitoku Pistols no Kinkyuu Kaigi?,39464,1,Finished Airing,"May 25, 2017",,Game,G - All Ages,,,2017,Spring
Wishing,39465,1,Finished Airing,"Dec 1, 2017",,Game,G - All Ages,5.63,,2017,Fall
Jitaku Keibiin (2019),39466,,Currently Airing,"May 31, 2019",Suzuki Mirano,Visual novel,Rx - Hentai,6.49,"2019 to, ?",2019,Spring
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,39468,14,Finished Airing,"Oct 3, 2019",Ajia-Do,Light novel,PG-13 - Teens 13 or older,8.05,"Dec 26, 2019",2019,Fall
Tsugu Tsugumomo,39469,12,Finished Airing,"Apr 5, 2020",Zero-G,Manga,R+ - Mild Nudity,7.53,"Jun 21, 2020",2020,Spring
Tsugumomo OVA (Tsugumomo2 OVA),39470,1,Finished Airing,"Jan 22, 2020",Zero-G,Manga,R+ - Mild Nudity,6.85,,2020,Winter
Hime-sama Love Life!,39471,,Currently Airing,"May 31, 2019",PoRO,Visual novel,Rx - Hentai,6.73,"2019 to, ?",2019,Spring
Möbius Dust,39473,,Not yet aired,,,Game,None,,,,
Oni (TV),39474,,Not yet aired,,dwarf,Original,G - All Ages,,,,
Jack Nicholson,39475,1,Finished Airing,2004,,Original,PG-13 - Teens 13 or older,,,2004,
Houkiboshi,39476,1,Finished Airing,"Jan 22, 2008",,Music,G - All Ages,5.44,,2008,Winter
Shingeki no Kyojin Season 3 Specials,39477,7,Finished Airing,"Oct 17, 2018",,Manga,G - All Ages,7.32,"Feb 27, 2019",2018,Fall
Shingeki no Kyojin in the Dome: Heishi-tachi no Hoshizora,39478,1,Finished Airing,"May 20, 2017",,Manga,R - 17+ (violence & profanity),6.83,,2017,Spring
Tannishou wo Hiraku,39479,1,Finished Airing,"May 24, 2019",,Book,None,,,2019,Spring
Shinmai Maou no Testament Departures: Maria no Hizou Eizou,39480,1,Finished Airing,"Mar 28, 2018",,Light novel,R+ - Mild Nudity,6.68,,2018,Winter
"Ore, Twintail ni Narimasu. Recap",39482,1,Finished Airing,"Apr 5, 2015",,Light novel,PG-13 - Teens 13 or older,5.95,,2015,Spring
Gintama: The Final,39486,1,Not yet aired,"Jan 8, 2021",Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,,,2021,Winter
Lupin the IIIrd: Mine Fujiko no Uso,39487,1,Finished Airing,"May 31, 2019",Telecom Animation Film,Manga,R+ - Mild Nudity,7.24,,2019,Spring
Ponta-kun no Otegara,39488,1,Finished Airing,1990,,Original,G - All Ages,,,1990,
Spriggan (ONA),39489,,Not yet aired,2021,David Production,Manga,None,,,2021,
Soba e,39490,1,Finished Airing,"Mar 6, 2019",Orange,Original,G - All Ages,6.1,,2019,Winter
Psycho-Pass 3,39491,8,Finished Airing,"Oct 25, 2019",Production I.G,Original,R - 17+ (violence & profanity),7.56,"Dec 13, 2019",2019,Fall
"Totsukuni no Shoujo (The Girl From the Other Side: Siúil, a Rún)",39495,1,Finished Airing,"Sep 10, 2019",Wit Studio,Manga,G - All Ages,7.5,,2019,Summer
Asobuild Concept Video,39498,1,Finished Airing,"Mar 5, 2019",,Original,PG - Children,5.38,,2019,Winter
Den Den Mushi no Danko-san,39499,1,Finished Airing,"Feb 4, 1974",,Music,G - All Ages,,,1974,Winter
Crystal Sea Ver. 69 (Kay Nakayama Remix),39500,1,Finished Airing,2010,,Music,G - All Ages,,,2010,
Kaminari Boy Pikatta-kun no Koutsu Anzen,39501,1,Finished Airing,1987,,Manga,G - All Ages,,,1987,
Kaminari Boy Pikatta-kun no Jitensha Kyoushitsu,39502,1,Finished Airing,1989,,Manga,G - All Ages,,,1989,
Tobidasu na! Panda-chan,39503,1,Finished Airing,1981,Toei Animation,Original,G - All Ages,,,1981,
Doctor X no Jitensha Anzen Seminar,39504,1,Finished Airing,1995,,Original,G - All Ages,,,1995,
Doubutsu Mura no World Cup: Yoiko no Koutsuu Anzen,39505,1,Finished Airing,2003,,Original,G - All Ages,,,2003,
Phantasy Star Online 2: Episode Oracle,39506,25,Finished Airing,"Oct 7, 2019",Gonzo,Game,PG-13 - Teens 13 or older,6.57,"Mar 30, 2020",2019,Fall
Sonotoki Kimi wa?: Ryouta to Pikari no Jishin Bousai Gaku,39507,1,Finished Airing,1995,,Original,G - All Ages,,,1995,
Main Actor,39511,1,Finished Airing,"Feb 21, 2018",,Music,PG-13 - Teens 13 or older,7.27,,2018,Winter
Tenuto,39513,1,Finished Airing,"Feb 1, 2013",,Original,PG - Children,,,2013,Winter
Giniro no Kami no Agito Pilot,39514,1,Finished Airing,"Jun 23, 2006",Gonzo,Original,PG - Children,,,2006,Spring
Kesshin Sokudo,39517,1,Finished Airing,"Sep 5, 2011",,Original,PG - Children,,,2011,Summer
Vampire in the Garden,39518,,Not yet aired,2021,Wit Studio,Original,None,,,2021,
Dragon's Dogma,39519,7,Finished Airing,"Sep 17, 2020",Sublimation,Game,R+ - Mild Nudity,6.04,,2020,Summer
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,39523,12,Finished Airing,"Oct 3, 2019",Project No.9,Light novel,PG-13 - Teens 13 or older,6.36,"Dec 19, 2019",2019,Fall
Sakuramiya Shimai no Netorare Kiroku,39526,,Currently Airing,"Jun 21, 2019",Queen Bee,Manga,Rx - Hentai,5.9,"2019 to, ?",2019,Spring
Try Knights,39527,12,Finished Airing,"Jul 31, 2019",Seven,Manga,PG-13 - Teens 13 or older,4.69,"Oct 16, 2019",2019,Summer
Washimo 7th Season,39528,40,Finished Airing,"Apr 1, 2019",,Picture book,G - All Ages,,"Nov 12, 2019",2019,Spring
Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,39529,1,Finished Airing,"Dec 13, 2019",OLM,Game,PG - Children,,,2019,Fall
Ecchi na Onee-chan ni Shiboraretai,39530,2,Finished Airing,"Jul 5, 2019",,Manga,Rx - Hentai,7.27,"Aug 2, 2019",2019,Summer
Kuutei Dragons (Drifting Dragons),39531,12,Finished Airing,"Jan 9, 2020",Polygon Pictures,Manga,PG-13 - Teens 13 or older,7.08,,2020,Winter
Given,39533,11,Finished Airing,"Jul 12, 2019",Lerche,Manga,PG-13 - Teens 13 or older,8.3,"Sep 20, 2019",2019,Summer
Jibaku Shounen Hanako-kun (Toilet-bound Hanako-kun),39534,12,Finished Airing,"Jan 10, 2020",Lerche,Manga,PG-13 - Teens 13 or older,7.76,"Mar 27, 2020",2020,Winter
Mushoku Tensei: Isekai Ittara Honki Dasu,39535,,Not yet aired,Jan 2021,Studio Bind,Light novel,None,,"2021 to, ?",2021,Winter
Kakera,39536,1,Finished Airing,2016,,Other,PG-13 - Teens 13 or older,,,2016,
Hoozuki no Reitetsu 2nd Season OVA,39538,3,Finished Airing,"Sep 20, 2019",Pine Jam,Manga,PG-13 - Teens 13 or older,7.21,"Sep 1, 2020",2019,Summer
No Guns Life,39539,12,Finished Airing,"Oct 11, 2019",Madhouse,Manga,PG-13 - Teens 13 or older,6.91,"Dec 27, 2019",2019,Fall
Kaze no Sei (Zephyr),39540,1,Finished Airing,2009,,Original,PG-13 - Teens 13 or older,,,2009,
Mukashi no Yama (Mountain),39541,1,Finished Airing,2017,,Other,G - All Ages,,,2017,
Shuuseki Life,39544,1,Finished Airing,2012,,Original,PG - Children,,,2012,
Fragtime,39545,1,Finished Airing,"Nov 22, 2019",Tear Studio,Manga,PG-13 - Teens 13 or older,6.53,,2019,Fall
Mukashibanashi Dokkiri Anime,39546,,Currently Airing,"Feb 9, 2019",,Manga,G - All Ages,,"2019 to, ?",2019,Winter
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,39547,12,Finished Airing,"Jul 10, 2020",feel.,Light novel,PG-13 - Teens 13 or older,8.51,"Sep 25, 2020",2020,Summer
Clone,39549,1,Finished Airing,"Jul 15, 2016",,Original,G - All Ages,5.81,,2016,Summer
Tensei shitara Slime Datta Ken 2nd Season,39551,,Not yet aired,"Jan 12, 2021",8bit,Light novel,PG-13 - Teens 13 or older,,"2021 to, 2021",2021,Winter
Baki: Dai Raitaisai-hen,39555,13,Finished Airing,"Jun 4, 2020",TMS Entertainment,Manga,R - 17+ (violence & profanity),7.5,,2020,Spring
Ero◆Lover,39559,,Currently Airing,"Mar 22, 2019",Asura Film,Manga,R+ - Mild Nudity,,"2019 to, ?",2019,Winter
Donten,39560,1,Finished Airing,"Mar 13, 2019",,Original,PG-13 - Teens 13 or older,,,2019,Winter
Kenketsu,39564,1,Finished Airing,"Mar 19, 2019",,Original,G - All Ages,,,2019,Winter
Boku no Hero Academia the Movie 2: Heroes:Rising,39565,1,Finished Airing,"Dec 20, 2019",Bones,Manga,PG-13 - Teens 13 or older,8.11,,2019,Fall
Ooi no Teiou,39566,1,Finished Airing,"Nov 7, 2018",,Original,G - All Ages,,,2018,Fall
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,39567,12,Finished Airing,"Oct 6, 2019",Anima&Co.,Original,PG-13 - Teens 13 or older,6.03,"Dec 29, 2019",2019,Fall
Tarareba,39568,1,Finished Airing,"Dec 13, 2017",,Original,PG - Children,6.28,,2017,Fall
Sora no Aosa wo Shiru Hito yo (Her Blue Sky),39569,1,Finished Airing,"Oct 11, 2019",CloverWorks,Original,PG-13 - Teens 13 or older,7.54,,2019,Fall
High Score Girl II,39570,9,Finished Airing,"Oct 26, 2019",J.C.Staff,Manga,PG-13 - Teens 13 or older,8.13,"Dec 21, 2019",2019,Fall
Wangu Xian Qiong III: Eren Gu Pian,39572,13,Finished Airing,"Mar 8, 2019",ASK Animation Studio,Novel,PG-13 - Teens 13 or older,,"May 17, 2019",2019,Winter
Levius,39574,12,Finished Airing,"Nov 28, 2019",Polygon Pictures,Manga,None,7.27,,2019,Fall
Somali to Mori no Kamisama (Somali and the Forest Spirit),39575,12,Finished Airing,"Jan 10, 2020",Satelight,Web manga,PG-13 - Teens 13 or older,7.84,"Mar 27, 2020",2020,Winter
Goblin Slayer: Goblin's Crown,39576,1,Finished Airing,"Feb 1, 2020",White Fox,Light novel,R - 17+ (violence & profanity),7.18,,2020,Winter
TV Yarou Nanaana: Wakuwaku Doukutsu Land,39581,24,Finished Airing,"Apr 11, 2019",,Original,PG-13 - Teens 13 or older,6.1,"Sep 19, 2019",2019,Spring
Kitsutsuki Tanteidokoro (Woodpecker Detective's Office),39582,12,Finished Airing,"Apr 13, 2020",LIDENFILMS,Novel,R - 17+ (violence & profanity),6.02,"Jun 29, 2020",2020,Spring
number24,39583,12,Finished Airing,"Jan 8, 2020",PRA,Original,PG-13 - Teens 13 or older,6.61,"Apr 15, 2020",2020,Winter
Human Lost: Ningen Shikkaku,39584,1,Finished Airing,"Oct 22, 2019",Polygon Pictures,Original,R - 17+ (violence & profanity),5.92,,2019,Fall
Majo Minarai wo Sagashite,39585,1,Finished Airing,"Nov 13, 2020",Toei Animation,Original,G - All Ages,,,2020,Fall
Hataraku Saibou!!,39586,,Not yet aired,Jan 2021,David Production,Manga,PG-13 - Teens 13 or older,,"2021 to, ?",2021,Winter
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,39587,13,Finished Airing,"Jul 8, 2020",White Fox,Light novel,R - 17+ (violence & profanity),8.59,"Sep 30, 2020",2020,Summer
Ojamajo Doremi: Owarai Gekijou,39588,26,Finished Airing,"Mar 23, 2019",,Unknown,G - All Ages,6.16,"Mar 22, 2020",2019,Winter
Kouya no Kotobuki Hikoutai Gaiden: Oozora no Harukaze Hikoutai,39589,12,Finished Airing,"Apr 10, 2019",,Original,PG-13 - Teens 13 or older,,"Feb 29, 2020",2019,Spring
Africa no Salaryman (TV) (Africa Salaryman),39590,12,Finished Airing,"Oct 7, 2019",HOTZIPANG,Web manga,PG-13 - Teens 13 or older,6.51,"Dec 23, 2019",2019,Fall
Persona 5 the Animation Specials,39591,2,Finished Airing,"May 29, 2019",CloverWorks,Game,R - 17+ (violence & profanity),6.93,"Jun 26, 2019",2019,Spring
Mobile Suit Gundam: The Origin - Advent of the Red Comet,39592,13,Finished Airing,"Apr 29, 2019",Sunrise,Manga,PG-13 - Teens 13 or older,8.08,"Aug 12, 2019",2019,Spring
Megazone 23 XI,39595,,Not yet aired,,,Original,None,,,,
Megazone 23 Sin,39596,,Not yet aired,,,Original,None,,,,
Sword Art Online: Alicization - War of Underworld,39597,12,Finished Airing,"Oct 13, 2019",A-1 Pictures,Light novel,R - 17+ (violence & profanity),7.68,"Dec 29, 2019",2019,Fall
Fate/Extra CCC Opening,39598,1,Finished Airing,"Mar 28, 2013",,Game,None,,"2013 to, ?",2013,Winter
Hataraku Saibou Specials,39605,5,Finished Airing,"Oct 24, 2018",,Manga,G - All Ages,6.7,"Feb 27, 2019",2018,Fall
Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,39606,1,Finished Airing,"Apr 24, 2019",Doga Kobo,Manga,PG-13 - Teens 13 or older,6.95,,2019,Spring
Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,39607,1,Finished Airing,"Mar 26, 2019",,Manga,PG-13 - Teens 13 or older,6.49,,2019,Winter
Ochikobore Fruit Tart (Dropout Idol Fruit Tart),39609,12,Currently Airing,"Oct 12, 2020",feel.,Manga,PG-13 - Teens 13 or older,6.55,"2020 to, ?",2020,Fall
ACCA: 13-ku Kansatsu-ka - Regards,39610,1,Finished Airing,"Feb 14, 2020",Madhouse,Manga,PG-13 - Teens 13 or older,7.14,,2020,Winter
Hametarou,39611,,Currently Airing,"Mar 10, 2019",,Original,G - All Ages,,"2019 to, ?",2019,Winter
Jo Uta,39616,1,Finished Airing,"Mar 27, 2019",,Original,G - All Ages,,,2019,Winter
Yakusoku no Neverland 2nd Season,39617,,Not yet aired,"Jan 8, 2021",,Manga,R - 17+ (violence & profanity),,"2021 to, ?",2021,Winter
Kagaku Manga Survival,39618,1,Finished Airing,"Mar 28, 2019",Toei Animation,Manga,PG - Children,,,2019,Winter
BanG Dream! Film Live,39619,1,Finished Airing,"Sep 13, 2019",SANZIGEN,Original,PG-13 - Teens 13 or older,7.62,,2019,Summer
Hakata Mentai! Pirikarako-chan,39620,12,Finished Airing,"Jul 7, 2019",G-angle,Original,G - All Ages,5.02,"Sep 22, 2019",2019,Summer
Mahou no LumiTear (Luminary Tears),39621,10,Finished Airing,"Mar 29, 2019",,Other,G - All Ages,,,2019,Winter
Bakugan: Battle Planet,39622,50,Finished Airing,"Apr 1, 2019",TMS Entertainment,Original,PG - Children,5.71,"Jan 19, 2020",2019,Spring
You Should See Me in a Crown,39623,1,Finished Airing,"Mar 18, 2019",Poncotan,Music,R - 17+ (violence & profanity),5.29,,2019,Winter
Peter-kun no Koutsuu Anzen,39624,1,Finished Airing,1986,,Original,G - All Ages,,,1986,
"Koutsuu Anzen Inu ""Signal"" no Oyako Nikki: Tobidashi Chuui",39625,1,Finished Airing,Nov,,Original,G - All Ages,,,2003,Fall
Dump to Mon-chan no Chiisana Bouken,39626,1,Finished Airing,1977,,Original,G - All Ages,,,1977,
Nan-chan no Koutsuu Anzen,39627,1,Finished Airing,,,Original,G - All Ages,,,,
Kaijuu Step Wandabada,39628,26,Finished Airing,"Sep 27, 2019",Usagi Ou,Picture book,PG - Children,,"Mar 27, 2020",2019,Summer
Aihime Megohime,39629,2,Finished Airing,"Mar 29, 2019",Gaina,Game,PG-13 - Teens 13 or older,,"Feb 29, 2020",2019,Winter
Boy General,39634,50,Finished Airing,"1982 to, 1997",,Unknown,G - All Ages,,"1982 to, 1997",1982,
Daifuku-kun@Kin Tele 2nd Season,39635,26,Finished Airing,"Apr 5, 2019",,Other,PG - Children,,"Oct 4, 2019",2019,Spring
Choujigen Game Neptune The Animation: Nep no Natsuyasumi,39638,1,Finished Airing,"Jul 8, 2019",Okuruto Noboru,Game,PG-13 - Teens 13 or older,7.16,,2019,Summer
"Tenioha! 2: Nee, Motto Ecchi na Koto Ippai Shiyo? The Animation",39640,1,Finished Airing,"Jun 28, 2019",Studio 1st,Visual novel,Rx - Hentai,6.82,,2019,Spring
Shoujo☆Conto All Starlight,39643,26,Finished Airing,"Jul 5, 2019",IMAGICA Lab.,Original,PG-13 - Teens 13 or older,6.1,"Dec 27, 2019",2019,Summer
Setsugetsuka,39644,1,Finished Airing,"Nov 21, 2018",,Visual novel,G - All Ages,,,2018,Fall
Essential Free & Easy,39650,,Currently Airing,"Apr 1, 2019",,Original,G - All Ages,,"2019 to, ?",2019,Spring
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,39651,1,Finished Airing,"Sep 25, 2019",Bones,Original,PG-13 - Teens 13 or older,7.62,,2019,Summer
One Punch Man 2nd Season Commemorative Special,39652,1,Finished Airing,"Apr 3, 2019",,Web manga,R - 17+ (violence & profanity),6.73,,2019,Spring
Chokotto Anime Kemono Friends 3,39653,,Currently Airing,"Apr 2, 2019",,Game,PG - Children,5.8,"2019 to, ?",2019,Spring
Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season,39654,7,Finished Airing,"Apr 2, 2019",Lesprit,4-koma manga,PG-13 - Teens 13 or older,6.33,"Jun 25, 2019",2019,Spring
Supermarket Flowers,39658,1,Finished Airing,"Apr 3, 2019",HOTZIPANG,Music,G - All Ages,,,2019,Spring
Chikin Ramen x Gudetama,39659,,Currently Airing,"Apr 2, 2019",,Original,G - All Ages,,"2019 to, ?",2019,Spring
"Hi no Tori ""Dougo Onsen-hen""",39663,,Currently Airing,"May 24, 2019",Pony Canyon,Manga,G - All Ages,,"2019 to, ?",2019,Spring
Gifu no Tatekayoko,39664,26,Finished Airing,"Apr 4, 2019",,4-koma manga,G - All Ages,,"Oct 10, 2019",2019,Spring
Gundam vs Hello Kitty,39674,3,Finished Airing,"Mar 29, 2019",,Unknown,G - All Ages,6.38,"Jan 15, 2020",2019,Winter
Ling Long: Incarnation,39675,6,Finished Airing,"Jul 13, 2019",YHKT Entertainment,Original,R - 17+ (violence & profanity),7.2,"Sep 21, 2019",2019,Summer
Han Hua Ri Ji (God Troubles Me),39676,12,Finished Airing,"Jul 21, 2019",L²Studio,Original,PG-13 - Teens 13 or older,6.77,"Sep 29, 2019",2019,Summer
Chuizhi Shijie (Vertical World),39677,12,Finished Airing,"Jun 18, 2019",Haoliners Animation League,Original,PG-13 - Teens 13 or older,,"Aug 27, 2019",2019,Spring
Mei Chuxi de Yinyangshi Yijia,39678,12,Finished Airing,"Apr 27, 2019",Green Monster Team,Web manga,PG-13 - Teens 13 or older,,"Jul 13, 2019",2019,Spring
Ju Bing Chang Cheng Zhuan (The Great Warrior Wall),39679,40,Finished Airing,"Jan 26, 2019",2:10 AM Animation,Original,G - All Ages,,"Mar 24, 2019",2019,Winter
Shakuen no Eris,39680,,Currently Airing,"Jun 28, 2019",PoRO,Novel,Rx - Hentai,6.31,"2019 to, ?",2019,Spring
D4DJ: First Mix (D4DJ First Mix),39681,,Currently Airing,"Oct 23, 2020",SANZIGEN,Original,None,6.88,"2020 to, ?",2020,Fall
Daisuki tte Imi dayo,39682,1,Finished Airing,"Apr 1, 2019",,Original,G - All Ages,,,2019,Spring
Sayonara Freeway,39684,1,Finished Airing,"Apr 5, 2019",,Original,G - All Ages,5.7,,2019,Spring
Mabeob Chunjamun (Magic Han War),39685,26,Finished Airing,Sep 2011,,Manga,G - All Ages,,"2011 to, 2011",2011,Summer
Mabeob Chunjamun Season 2 (Magic Han War Season 2),39686,26,Finished Airing,2015,,Manga,G - All Ages,,,2015,
Nande Koko ni Sensei ga!? Special,39689,1,Finished Airing,"Dec 11, 2019",Tear Studio,Manga,R+ - Mild Nudity,6.85,,2019,Fall
Mousou Teikoku Chikuonki,39690,1,Finished Airing,"Jan 24, 2018",,Original,PG-13 - Teens 13 or older,,,2018,Winter
Robot Trains,39691,32,Finished Airing,2015,,Original,G - All Ages,,,2015,
Pocari Sweat x Fuji Rock Festival ’17,39694,1,Finished Airing,"Jul 13, 2017",,Original,G - All Ages,,,2017,Summer
Niigata no Edamame-ou Shiba,39696,3,Finished Airing,"Apr 8, 2019",,Original,G - All Ages,,,2019,Spring
Mameshiba x Tunes!,39697,1,Finished Airing,Nov,,Other,G - All Ages,,,2017,Fall
King of Prism: Shiny Seven Stars,39699,12,Finished Airing,"Apr 16, 2019",Tatsunoko Production,Original,PG-13 - Teens 13 or older,6.42,"Jul 2, 2019",2019,Spring
Miracle,39700,1,Finished Airing,"Nov 3, 2016",,Original,G - All Ages,,,2016,Fall
Nanatsu no Taizai: Kamigami no Gekirin,39701,24,Finished Airing,"Oct 9, 2019",Studio Deen,Manga,PG-13 - Teens 13 or older,6.37,"Mar 25, 2020",2019,Fall
